,weather,scenario,status
401,cloudy,ghost_cutin,Completed
402,rain,ghost_cutin,Completed
403,snow,ghost_cutin,Completed
404,clear,ghost_cutin,Completed
405,cloudy,ghost_cutin,Completed
406,rain,ghost_cutin,Failed -- Accident
407,snow,ghost_cutin,Failed -- Accident
408,clear,ghost_cutin,Completed
409,cloudy,ghost_cutin,Completed
410,rain,ghost_cutin,Completed
411,snow,ghost_cutin,Failed -- Accident
412,clear,ghost_cutin,Completed
413,cloudy,ghost_cutin,Completed
414,rain,ghost_cutin,Completed
415,snow,ghost_cutin,Failed -- Accident
416,clear,ghost_cutin,Completed
417,cloudy,ghost_cutin,Completed
418,rain,ghost_cutin,Completed
419,snow,ghost_cutin,Completed
420,clear,ghost_cutin,Completed
421,cloudy,ghost_cutin,Completed
422,rain,ghost_cutin,Completed
423,snow,ghost_cutin,Completed
424,clear,ghost_cutin,Completed
425,cloudy,ghost_cutin,Completed
426,rain,ghost_cutin,Failed -- Accident
427,snow,ghost_cutin,Completed
428,clear,ghost_cutin,Completed
429,cloudy,ghost_cutin,Completed
430,rain,ghost_cutin,Completed
431,snow,ghost_cutin,Completed
432,clear,ghost_cutin,Completed
433,cloudy,ghost_cutin,Completed
434,rain,ghost_cutin,Completed
435,snow,ghost_cutin,Completed
436,clear,ghost_cutin,Completed
437,cloudy,ghost_cutin,Completed
438,rain,ghost_cutin,Completed
439,snow,ghost_cutin,Completed
440,clear,ghost_cutin,Completed
441,cloudy,ghost_cutin,Completed
442,rain,ghost_cutin,Failed -- Accident
443,snow,ghost_cutin,Completed
444,clear,ghost_cutin,Completed
445,cloudy,ghost_cutin,Completed
446,rain,ghost_cutin,Completed
447,snow,ghost_cutin,Completed
448,clear,ghost_cutin,Completed
449,cloudy,ghost_cutin,Completed
450,rain,ghost_cutin,Completed
451,snow,ghost_cutin,Completed
452,clear,ghost_cutin,Completed
453,cloudy,ghost_cutin,Completed
454,rain,ghost_cutin,Failed -- Accident
455,snow,ghost_cutin,Completed
456,clear,ghost_cutin,Completed
457,cloudy,ghost_cutin,Completed
458,rain,ghost_cutin,Completed
459,snow,ghost_cutin,Completed
460,clear,ghost_cutin,Completed
461,cloudy,ghost_cutin,Completed
462,rain,ghost_cutin,Completed
463,snow,ghost_cutin,Completed
464,clear,ghost_cutin,Completed
465,cloudy,ghost_cutin,Completed
466,rain,ghost_cutin,Completed
467,snow,ghost_cutin,Completed
468,clear,ghost_cutin,Completed
469,cloudy,ghost_cutin,Completed
470,rain,ghost_cutin,Completed
471,snow,ghost_cutin,Completed
472,clear,ghost_cutin,Completed
473,cloudy,ghost_cutin,Completed
474,rain,ghost_cutin,Completed
475,snow,ghost_cutin,Failed -- Accident
476,clear,ghost_cutin,Completed
477,cloudy,ghost_cutin,Completed
478,rain,ghost_cutin,Completed
479,snow,ghost_cutin,Completed
480,clear,ghost_cutin,Completed
481,cloudy,ghost_cutin,Completed
482,rain,ghost_cutin,Completed
483,snow,ghost_cutin,Completed
484,clear,ghost_cutin,Completed
485,cloudy,ghost_cutin,Completed
486,rain,ghost_cutin,Failed -- Accident
487,snow,ghost_cutin,Completed
488,clear,ghost_cutin,Completed
489,cloudy,ghost_cutin,Completed
490,rain,ghost_cutin,Completed
491,snow,ghost_cutin,Completed
492,clear,ghost_cutin,Completed
493,cloudy,ghost_cutin,Completed
494,rain,ghost_cutin,Completed
495,snow,ghost_cutin,Completed
496,clear,ghost_cutin,Completed
497,cloudy,ghost_cutin,Completed
498,rain,ghost_cutin,Completed
499,snow,ghost_cutin,Completed
500,clear,ghost_cutin,Completed
501,cloudy,ghost_cutin,Completed
502,rain,ghost_cutin,Completed
503,snow,ghost_cutin,Completed
504,clear,ghost_cutin,Completed
505,cloudy,ghost_cutin,Completed
506,rain,ghost_cutin,Completed
507,snow,ghost_cutin,Failed -- Accident
508,clear,ghost_cutin,Completed
509,cloudy,ghost_cutin,Completed
510,rain,ghost_cutin,Completed
511,snow,ghost_cutin,Completed
512,clear,ghost_cutin,Completed
513,cloudy,ghost_cutin,Completed
514,rain,ghost_cutin,Completed
515,snow,ghost_cutin,Completed
516,clear,ghost_cutin,Completed
517,cloudy,ghost_cutin,Failed -- Simulator crashed
518,rain,ghost_cutin,Failed -- Accident
519,snow,ghost_cutin,Failed -- Accident
520,clear,ghost_cutin,Completed
521,cloudy,ghost_cutin,Completed
522,rain,ghost_cutin,Completed
523,snow,ghost_cutin,Completed
524,clear,ghost_cutin,Failed -- Simulator crashed
525,cloudy,ghost_cutin,Completed
526,rain,ghost_cutin,Completed
527,snow,ghost_cutin,Completed
528,clear,ghost_cutin,Completed
529,cloudy,ghost_cutin,Completed
530,rain,ghost_cutin,Failed -- Accident
531,snow,ghost_cutin,Failed -- Accident
532,clear,ghost_cutin,Completed
533,cloudy,ghost_cutin,Completed
534,rain,ghost_cutin,Completed
535,snow,ghost_cutin,Completed
536,clear,ghost_cutin,Completed
537,cloudy,ghost_cutin,Completed
538,rain,ghost_cutin,Completed
539,snow,ghost_cutin,Completed
540,clear,ghost_cutin,Completed
541,cloudy,ghost_cutin,Completed
542,rain,ghost_cutin,Failed -- Accident
543,snow,ghost_cutin,Failed -- Accident
544,clear,ghost_cutin,Completed
545,cloudy,ghost_cutin,Completed
546,rain,ghost_cutin,Failed -- Accident
547,snow,ghost_cutin,Completed
548,clear,ghost_cutin,Completed
549,cloudy,ghost_cutin,Completed
550,rain,ghost_cutin,Completed
551,snow,ghost_cutin,Completed
552,clear,ghost_cutin,Completed
553,cloudy,ghost_cutin,Completed
554,rain,ghost_cutin,Completed
555,snow,ghost_cutin,Completed
556,clear,ghost_cutin,Completed
557,cloudy,ghost_cutin,Completed
558,rain,ghost_cutin,Completed
559,snow,ghost_cutin,Completed
560,clear,ghost_cutin,Completed
561,cloudy,ghost_cutin,Completed
562,rain,ghost_cutin,Completed
563,snow,ghost_cutin,Completed
564,clear,ghost_cutin,Completed
565,cloudy,ghost_cutin,Completed
566,rain,ghost_cutin,Completed
567,snow,ghost_cutin,Failed -- Accident
568,clear,ghost_cutin,Completed
569,cloudy,ghost_cutin,Completed
570,rain,ghost_cutin,Completed
571,snow,ghost_cutin,Completed
572,clear,ghost_cutin,Completed
573,cloudy,ghost_cutin,Completed
574,rain,ghost_cutin,Failed -- Accident
575,snow,ghost_cutin,Completed
576,clear,ghost_cutin,Completed
577,cloudy,ghost_cutin,Completed
578,rain,ghost_cutin,Completed
579,snow,ghost_cutin,Completed
580,clear,ghost_cutin,Completed
581,cloudy,ghost_cutin,Completed
582,rain,ghost_cutin,Failed -- Accident
583,snow,ghost_cutin,Completed
584,clear,ghost_cutin,Completed
585,cloudy,ghost_cutin,Completed
586,rain,ghost_cutin,Completed
587,snow,ghost_cutin,Completed
588,clear,ghost_cutin,Completed
589,cloudy,ghost_cutin,Completed
590,rain,ghost_cutin,Completed
591,snow,ghost_cutin,Completed
592,clear,ghost_cutin,Completed
593,cloudy,ghost_cutin,Completed
594,rain,ghost_cutin,Failed -- Accident
595,snow,ghost_cutin,Completed
596,clear,ghost_cutin,Completed
597,cloudy,ghost_cutin,Completed
598,rain,ghost_cutin,Completed
599,snow,ghost_cutin,Completed
600,clear,ghost_cutin,Completed
601,cloudy,ghost_cutin,Completed
602,rain,ghost_cutin,Completed
603,snow,ghost_cutin,Completed
604,clear,ghost_cutin,Completed
605,cloudy,ghost_cutin,Completed
606,rain,ghost_cutin,Completed
607,snow,ghost_cutin,Completed
608,clear,ghost_cutin,Completed
609,cloudy,ghost_cutin,Completed
610,rain,ghost_cutin,Completed
611,snow,ghost_cutin,Completed
612,clear,ghost_cutin,Completed
613,cloudy,ghost_cutin,Completed
614,rain,ghost_cutin,Completed
615,snow,ghost_cutin,Completed
616,clear,ghost_cutin,Completed
617,cloudy,ghost_cutin,Completed
618,rain,ghost_cutin,Completed
619,snow,ghost_cutin,Completed
620,clear,ghost_cutin,Completed
621,cloudy,ghost_cutin,Completed
622,rain,ghost_cutin,Completed
623,snow,ghost_cutin,Completed
624,clear,ghost_cutin,Completed
625,cloudy,ghost_cutin,Completed
626,rain,ghost_cutin,Completed
627,snow,ghost_cutin,Completed
628,clear,ghost_cutin,Completed
629,cloudy,ghost_cutin,Completed
630,rain,ghost_cutin,Completed
631,snow,ghost_cutin,Failed -- Accident
632,clear,ghost_cutin,Completed
633,cloudy,ghost_cutin,Completed
634,rain,ghost_cutin,Completed
635,snow,ghost_cutin,Failed -- Accident
636,clear,ghost_cutin,Completed
637,cloudy,ghost_cutin,Completed
638,rain,ghost_cutin,Completed
639,snow,ghost_cutin,Failed -- Accident
640,clear,ghost_cutin,Completed
641,cloudy,ghost_cutin,Completed
642,rain,ghost_cutin,Completed
643,snow,ghost_cutin,Completed
644,clear,ghost_cutin,Completed
645,cloudy,ghost_cutin,Completed
646,rain,ghost_cutin,Completed
647,snow,ghost_cutin,Completed
648,clear,ghost_cutin,Completed
649,cloudy,ghost_cutin,Completed
650,rain,ghost_cutin,Completed
651,snow,ghost_cutin,Completed
652,clear,ghost_cutin,Completed
653,cloudy,ghost_cutin,Completed
654,rain,ghost_cutin,Failed -- Accident
655,snow,ghost_cutin,Completed
656,clear,ghost_cutin,Completed
657,cloudy,ghost_cutin,Completed
658,rain,ghost_cutin,Completed
659,snow,ghost_cutin,Completed
660,clear,ghost_cutin,Completed
661,cloudy,ghost_cutin,Completed
662,rain,ghost_cutin,Completed
663,snow,ghost_cutin,Completed
664,clear,ghost_cutin,Failed -- Simulator crashed
665,cloudy,ghost_cutin,Completed
666,rain,ghost_cutin,Completed
667,snow,ghost_cutin,Completed
668,clear,ghost_cutin,Completed
669,cloudy,ghost_cutin,Completed
670,rain,ghost_cutin,Completed
671,snow,ghost_cutin,Completed
672,clear,ghost_cutin,Completed
673,cloudy,ghost_cutin,Completed
674,rain,ghost_cutin,Completed
675,snow,ghost_cutin,Completed
676,clear,ghost_cutin,Completed
677,cloudy,ghost_cutin,Completed
678,rain,ghost_cutin,Failed -- Accident
679,snow,ghost_cutin,Completed
680,clear,ghost_cutin,Completed
681,cloudy,ghost_cutin,Completed
682,rain,ghost_cutin,Completed
683,snow,ghost_cutin,Completed
684,clear,ghost_cutin,Completed
685,cloudy,ghost_cutin,Failed -- Accident
686,rain,ghost_cutin,Failed -- Accident
687,snow,ghost_cutin,Completed
688,clear,ghost_cutin,Completed
689,cloudy,ghost_cutin,Completed
690,rain,ghost_cutin,Completed
691,snow,ghost_cutin,Completed
692,clear,ghost_cutin,Completed
693,cloudy,ghost_cutin,Completed
694,rain,ghost_cutin,Failed -- Accident
695,snow,ghost_cutin,Completed
696,clear,ghost_cutin,Completed
697,cloudy,ghost_cutin,Completed
698,rain,ghost_cutin,Completed
699,snow,ghost_cutin,Completed
700,clear,ghost_cutin,Completed
701,cloudy,ghost_cutin,Completed
702,rain,ghost_cutin,Completed
703,snow,ghost_cutin,Completed
704,clear,ghost_cutin,Completed
705,cloudy,ghost_cutin,Completed
706,rain,ghost_cutin,Completed
707,snow,ghost_cutin,Completed
708,clear,ghost_cutin,Completed
709,cloudy,ghost_cutin,Completed
710,rain,ghost_cutin,Completed
711,snow,ghost_cutin,Completed
712,clear,ghost_cutin,Completed
713,cloudy,ghost_cutin,Completed
714,rain,ghost_cutin,Completed
715,snow,ghost_cutin,Failed -- Accident
716,clear,ghost_cutin,Completed
717,cloudy,ghost_cutin,Completed
718,rain,ghost_cutin,Completed
719,snow,ghost_cutin,Completed
720,clear,ghost_cutin,Completed
721,cloudy,ghost_cutin,Completed
722,rain,ghost_cutin,Completed
723,snow,ghost_cutin,Completed
724,clear,ghost_cutin,Completed
725,cloudy,ghost_cutin,Completed
726,rain,ghost_cutin,Completed
727,snow,ghost_cutin,Completed
728,clear,ghost_cutin,Completed
729,cloudy,ghost_cutin,Completed
730,rain,ghost_cutin,Completed
731,snow,ghost_cutin,Completed
732,clear,ghost_cutin,Completed
733,cloudy,ghost_cutin,Failed -- Accident
734,rain,ghost_cutin,Failed -- Accident
735,snow,ghost_cutin,Completed
736,clear,ghost_cutin,Completed
737,cloudy,ghost_cutin,Failed -- Accident
738,rain,ghost_cutin,Completed
739,snow,ghost_cutin,Failed -- Accident
740,clear,ghost_cutin,Completed
741,cloudy,ghost_cutin,Completed
742,rain,ghost_cutin,Completed
743,snow,ghost_cutin,Completed
744,clear,ghost_cutin,Completed
745,cloudy,ghost_cutin,Completed
746,rain,ghost_cutin,Completed
747,snow,ghost_cutin,Completed
748,clear,ghost_cutin,Completed
749,cloudy,ghost_cutin,Completed
750,rain,ghost_cutin,Failed -- Accident
751,snow,ghost_cutin,Completed
752,clear,ghost_cutin,Completed
753,cloudy,ghost_cutin,Completed
754,rain,ghost_cutin,Completed
755,snow,ghost_cutin,Completed
756,clear,ghost_cutin,Completed
757,cloudy,ghost_cutin,Completed
758,rain,ghost_cutin,Completed
759,snow,ghost_cutin,Completed
760,clear,ghost_cutin,Completed
761,cloudy,ghost_cutin,Completed
762,rain,ghost_cutin,Completed
763,snow,ghost_cutin,Failed -- Accident
764,clear,ghost_cutin,Completed
765,cloudy,ghost_cutin,Completed
766,rain,ghost_cutin,Completed
767,snow,ghost_cutin,Completed
768,clear,ghost_cutin,Completed
769,cloudy,ghost_cutin,Completed
770,rain,ghost_cutin,Failed -- Accident
771,snow,ghost_cutin,Completed
772,clear,ghost_cutin,Completed
